spu_code	status	stock
L00JJBBTC00P	2	5
ST4534009T11	4	0
ST4534RZ688G	2	0
NULL	NULL	NULL
HO1070KRQAO2	2	0
TO21220302DI	2	48
OU4534H7O74D	2	2
EL61310947Z3	4	0
HOA10700S4L0	2	5
PUSH9G363DD6	2	1
TO2122R1NXMJ	2	19
EL6136LK6QYV	4	0
TO2122RSS63Q	4	0
PUSHY4TUCRT0	2	4
TO2122W7AKUM	4	0
EL6136GBG4ZN	4	0
EL61364P99YA	2	10
PH10704WKVTC	2	10
PH4534MHIX65	4	7
PH45344D0OYS	2	5
PH1070642AT8	4	0
PH2122O5NLR7	4	0
TO2122L79004	2	7
PH2122413K11	2	1
EL6136AR2LZ4	2	3
PHO_005O	2	3
PHO_008S	4	0
PHO_008E	2	14
POU_001P	2	0
PTO_009F	2	14
PTO_00BU	2	0
POU_003W	4	1
PTO_00DW	2	0
PHO_00JI	4	0
POU_006H	2	29
POU_007B	2	2
POU_007C	2	7
PEL_0083	2	0
PHO_00NT	2	39
POU_008F	2	3
PEL_008O	2	2
PHO_00P0	2	3
PTO_00LW	2	5
PTO_00MY	2	33
PEL_00AZ	2	66
POU_00BH	2	9
PHO_00V5	2	0
POU_00CW	2	27
PTO_00QO	2	10
POU_00IH	2	8
POU_00MI	4	0
POU_00NT	2	35
POU_00RK	2	3
PHO_01JA	4	0
PHO_01JM	2	13
PEL_00JP	2	12
HOA1070T7RK3	4	0
PHO_01ZI	2	0
POU_016B	2	20
POU_019H	4	0
POU_019I	2	1
PTO_01AS	2	9
PEL_00NN	2	39
POU_01I3	2	-1
PEL_00P2	4	0
PEL_00Q1	2	0
PEL_00Q2	2	2
PTO_01OV	4	0
PTO_01QA	4	0
POU_01O5	4	0
PTO_01Y6	2	0
PEL_00TI	4	0
PEL_00TO	2	35
PEL_00U5	2	10
PEL_00UN	2	0
PEL_00US	2	15
PHO_03OB	4	0
PHO_03RA	2	5
PTO_026A	2	6
PTO_02AU	4	0
PTO_02AW	2	9
PEL_00YH	2	13
PTO_02CB	2	8
PTO_02FH	2	8
PEL_011A	2	52
PHO_04R6	2	7
PEL_01BL	4	0
PEL_01DI	4	0
PHO_051C	4	0
PEL_01FI	4	0
POU_024R	4	0
PEL_01G2	4	0
PEL_01GP	2	8
PEL_01H3	2	12
PEL_01HK	2	4
PHO_05C4	4	0
PTO_02X4	4	0
PHO_05MN	2	35
PEL_022Y	2	11
PEL_023E	2	0
PHO_05RM	2	10
PEL_02A8	2	10
PEL_02AJ	2	1
PEL_02EI	2	2
PEL_02R3	2	16
PTO_03DA	2	25
POU_02ML	4	0
PEL_02ZZ	2	22
PEL_031X	2	2
PEL_031Z	2	21
PEL_0320	2	3
PEL_035C	2	10
PEL_03AQ	2	0
POU_02QS	2	1
PEL_03BF	2	24
PEL_03J8	2	2
POU_02U1	4	0
PEL_03OE	2	4
PEL_03OV	2	0
PTO_03X2	4	0
POU_02X3	2	26
PEL_03TG	2	6
PEL_03XI	4	0
PEL_040Z	2	7
PTO_044Q	4	0
PEL_042D	2	5
PEL_044B	2	7
PTO_0498	2	4
PEL_049F	2	80
PEL_049D	2	9
POU_034A	2	8
PEL_04CL	2	12
PEL_04HD	2	6
PEL_04RE	2	3
PEL_04SO	2	23
PEL_04T3	4	0
PEL_04VN	2	0
PEL_04VM	4	0
PEL_04ZR	2	3
PEL_055J	2	0
PEL_056P	2	39
PEL_0578	2	0
PEL_05G0	2	7
PBY_0AL0	2	19
PTO_055S	4	0
PTO_056L	2	2
PEL_05US	2	10
PEL_05XF	4	0
PHO_09PV	2	0
PHO_09UK	2	5
PEL_068D	4	0
PHO_0ALN	4	0
PEL_06KN	4	0
PEL_06VF	2	5
PBY_0EKI	2	12
PTO_06WG	4	0
HO10703B9P94	4	0
TO21229JXIUG	2	5
TO212245F55Y	4	0
HO107028PVY3	4	0
TO212276G79U	4	0
EL6136R40H13	2	7
TO212260244C	2	0
PH21226684SF	2	3
PH21222117VP	2	0
PH453447NHQ2	4	5
TO2122E28885	2	5
PH2122DLZ43G	4	4
PH212283L18Y	4	0
PH2122X2602V	4	3
PH1070EQ4ELM	2	0
HO10703634IJ	2	0
HO107058RS3F	4	0
PTO_004M	2	4
PBY_00D1	4	0
PTO_008T	2	0
PTO_00C3	2	5
PEL_0049	2	3
PHO_00IT	2	4
PEL_006V	2	3
PEL_007M	2	0
PTO_00L9	2	2
PEL_009U	2	1
PTO_00MK	4	0
PEL_00AT	4	15
PTO_00WS	2	14
PEL_00I1	2	19
PTO_017F	2	7
PTO_019U	2	10
PHO_02EC	2	2
PTO_01FU	2	5
PTO_01KL	2	13
PHO_02UK	2	3
PTO_01O2	2	0
PEL_00R7	2	0
PBY_04FF	2	20
PTO_023S	2	7
PHO_03VY	2	8
PTO_02C2	2	0
PTO_02HH	2	5
PTO_02KZ	2	42
PTO_02MD	4	0
PTO_02MQ	2	17
PTO_02MG	2	0
PEL_01AV	2	0
PHO_04VT	2	11
PTO_02SC	2	13
PEL_01FB	2	2
POU_02BS	4	0
PTO_0310	4	0
PTO_031Z	2	3
PTO_033B	2	2
PBY_07J6	2	0
PEL_022Z	2	4
PEL_023W	2	4
PTO_0357	4	0
PTO_0364	2	0
PEL_02AB	2	8
PHO_05ZP	4	0
PTO_038E	4	5
PTO_039R	2	0
PTO_039U	2	5
PHO_066S	4	0
PEL_02RZ	4	0
PTO_03DK	2	6
PHO_06D6	2	6
PTO_03L1	4	8
PEL_038P	2	0
PHO_06PW	2	52
PHO_06SZ	4	0
PHO_06UQ	2	8
PEL_03K5	2	9
PBY_08MR	2	1
PEL_03NA	4	4
PTO_03UK	2	20
PEL_03OK	2	6
PEL_03PE	2	0
PEL_03UZ	2	0
PEL_03ZA	2	0
PTO_044Y	2	0
PEL_042B	2	24
PEL_049G	2	536
PBY_09BV	2	12
PBY_09BZ	2	23
PHO_0887	2	0
PEL_04I7	2	0
PTO_04GN	2	10
PBY_09PQ	2	31
PTO_04MT	2	14
PEL_04SJ	2	9
PEL_04UD	2	10
PBY_0A07	2	12
PBY_0A0A	2	16
PTO_04XB	4	0
PHO_092E	2	9
PBY_0A5H	2	8
PBY_0A66	2	55
PBY_0A8E	2	6
PEL_05AN	4	4
PTO_051P	2	10
PTO_051R	2	31
PEL_05R2	2	2
PBY_0ALG	2	9
PEL_05VH	2	12
PEL_05WE	2	2
PBY_0AYS	2	41
PBY_0AZ6	2	6
PBY_0B27	2	11
PBY_0BBK	2	21
PEL_06EJ	4	0
PBY_0BTQ	2	6
PTO_05QE	2	3
PEL_06YT	4	0
PTO_05WR	2	8
PTO_06AM	2	2
PTO_06BZ	4	0
PBY_0DFA	2	36
PTO_06Y0	2	40
PEL_089F	4	34
PTO_071G	2	34
PTO_071H	2	5
PH21224R0109	4	0
PTO_0005	2	3
PTO_0084	4	0
PTO_00RT	2	0
PTO_00Z2	2	5
PHO_01QF	4	0
PTO_0125	2	1
PTO_01ED	4	0
PTO_02EM	4	0
PTO_02YJ	2	10
PTO_033V	2	10
PTO_037A	4	0
PEL_02KG	2	2
PTO_03AN	2	4
PEL_02PY	2	0
PTO_03H8	2	2
PTO_03J3	2	12
PTO_03L5	4	0
PEL_03I3	2	0
PBY_08LC	2	12
PEL_03SI	4	0
PTO_0479	4	0
PTO_049E	2	0
PBY_0BCA	2	3
PEL_06BM	4	10
PTO_06YN	2	16
PTO_06YF	2	29
PTO_06YH	2	0
PTO_06YB	2	4
PTO_071E	2	4
CB00275PRT01	4	0
ST2122A854Y6	4	0
ST45347H7G92	4	0
PUSH3N6ZG627	4	0
PUSH7DOGRKQ5	4	0
TO2122M5605R	2	21
PH212273N09F	4	0
PH212286Y1R7	2	1
PH2122O3BB44	2	1
PH2122F1R58R	4	0
PH45343A3025	4	11
PH21221LEG6K	4	0
PH21227STDVI	4	0
PH2122JKG48A	2	7
PUSHBB2E3Q1I	2	3
PTO_000B	2	10
PTO_003H	4	0
PTO_004N	4	0
PTO_007C	2	4
PTO_009V	4	0
PTO_009N	4	0
PTO_00C5	4	0
PTO_00E8	4	0
PEL_005H	2	4
PTO_00HZ	2	7
PTO_00ID	2	9
PTO_00LG	2	0
PEL_009D	4	0
PTO_00N5	2	7
PTO_00NF	2	15
PTO_00T6	2	0
PHO_01IU	2	35
PEL_00J7	4	0
PTO_00ZC	2	0
PHO_01PS	2	2
PTO_014A	2	0
PTO_014W	4	0
PTO_016K	2	5
PTO_016O	4	0
POU_0196	2	5
PTO_0197	2	1
PTO_01CL	2	3
PTO_01CT	4	0
PEL_00NX	2	10
PTO_01D1	4	0
PTO_01D4	2	0
PTO_01DV	2	5
PHO_02NK	2	3
PTO_01J4	2	4
PTO_01K6	4	0
PTO_01T7	4	0
PBY_03W1	2	17
PTO_01UK	2	18
PHO_03BJ	4	0
PHO_03C1	2	3
PTO_01XQ	2	8
PTO_01Z1	4	0
PHO_03JA	4	35
PTO_01Z0	4	0
PBY_055G	2	0
PTO_0236	2	0
PTO_0260	4	0
PTO_028B	4	0
PTO_02A3	2	3
PHO_042B	2	6
PEL_00Z2	2	6
PEL_010D	2	5
PTO_02FG	2	36
PTO_02IB	2	0
PTO_02MM	2	5
PTO_02NE	4	0
PTO_02RN	2	0
PHO_051T	4	0
PTO_02WP	2	5
PTO_02YE	2	5
PEL_01XV	2	3
POU_02EI	2	10
PTO_031V	4	0
PTO_033U	4	0
PTO_039Z	4	0
PEL_02RQ	2	4
PEL_02S6	2	31
PTO_03G5	2	2
PTO_03GZ	4	0
PEL_036Y	2	3
PTO_03L7	4	0
PEL_0389	2	3
PTO_03NR	2	5
PTO_03PQ	4	0
PBY_08L5	2	0
PTO_03V3	4	0
PTO_03VZ	4	0
PTO_03YT	4	0
PTO_03Z9	4	0
PTO_03ZE	4	0
PTO_0400	4	0
PTO_042M	4	0
FQ1TO_EZCMV	2	4
PTO_045S	4	0
FQ1TO_HO022	2	4
PHO_08IO	2	21
PTO_04UC	2	0
PTO_04YT	4	0
PTO_04YH	2	7
FQ1TO_FN8C9	2	6
PEL_05CD	2	11
PTO_0535	2	0
PBY_0AHE	2	24
PTO_058G	2	12
PBY_0ASF	2	1
PBY_0AZ8	2	7
PBY_0B0J	2	63
PTO_05FB	2	3
FQ1TO_CE36Q	2	1
PTO_05FI	2	1
PBY_0C38	2	9
PEL_06L5	2	0
PTO_05NL	2	14
PEL_070T	2	4
PTO_066G	4	0
PEL_07H3	2	4
PEL_07OH	2	0
PEL_07OI	2	2
PTO_073O	2	1
TO21220920R7	2	3
PTO_006O	4	0
PEL_008C	2	4
POU_00B0	2	6
PTO_015S	4	0
PHO_02TO	2	2
PTO_02ME	4	0
PEL_01AF	2	2
PTO_02UV	4	0
PHO_07IZ	2	5
PEL_040A	2	3
PEL_0498	2	6
PTO_06FM	2	17
PTO_00H2	4	0
A03UBIF3702C	4	0
PUSH4QF57J82	2	2
TO212297QMN4	4	0
TOA212223V5E	2	3
PH21223L8CZT	4	0
PH2122Q887B9	4	0
PTO_002A	4	0
PHO_0058	4	0
PHO_00SD	2	10
PTO_00UT	4	6
PTO_00VQ	4	0
PTO_00XL	4	0
PEL_00J4	2	0
PHO_01V0	2	11
PHO_02IA	2	7
PBY_03LC	2	4
PEL_00PY	2	2
PTO_01YY	2	7
PTO_02BP	4	0
PBY_06F2	2	0
PTO_02JP	2	8
PTO_02NJ	4	0
PEL_01DJ	2	0
PEL_01F6	2	0
PEL_0221	2	9
PBY_07LD	2	0
PEL_02SB	4	0
PEL_02V3	2	0
PEL_031W	2	5
PTO_03IT	2	2
PTO_03KA	4	0
PTO_03LQ	4	0
PHO_06TJ	4	0
PEL_03EC	2	2
PBY_08LE	2	2
PEL_03O3	2	0
PEL_03OI	2	5
PTO_0453	2	2
PTO_046P	4	0
FQ1TO_M9RWT	2	50
PHO_081Y	2	13
PEL_05XD	4	0
PEL_06A4	2	11
PEL_06AJ	4	0
PTO_05L8	2	34
PTO_05MJ	2	2
PEL_07HJ	2	1
PTO_00BN	2	23
PTO_00WT	2	20
PTO_00X2	4	0
PTO_01EJ	4	0
PTO_02D9	2	0
PTO_03DD	4	0
PTO_03KV	2	13
PTO_03UJ	4	0
PTO_04JZ	2	1
PTO_00EU	4	3
L00JJBBQSJ50	2	1
PTO_01SD	4	0
PEL_00RU	2	3
PHO_05TU	2	0
PEL_03AL	2	1
PEL_03N7	2	0
PEL_04CQ	2	20
PEL_04SX	2	2
PEL_05WO	4	0
PEL_063J	2	4
ST1070GD9169	2	1
ST1070E3J048	2	0
HO1070Y056A2	2	8
HO10701SGY09	4	0
TO2122E3YJHA	4	0
PH2122638EK1	4	27
PHO_005W	2	7
PHO_008Q	2	12
PTO_00QJ	2	2
PTO_00RU	4	0
PHO_025Y	2	0
PTO_01JD	4	0
PTO_01XH	2	11
PBY_04VI	2	13
PTO_02C1	2	0
PHO_04HO	4	0
PBY_07RV	2	3
PTO_03EO	2	3
PHO_06GG	2	1
PTO_03LU	4	0
PHO_07GY	4	3
PBY_08XA	2	4
PBY_0AYK	2	4
PBY_0BN2	4	0
PHO_0ACN	2	25
PHO_0B77	4	0
ST2122RXEF9J	4	0
ST1070KC8TF6	2	16
PUSH1KH73NZ1	2	1
TO2122S3KKGQ	2	0
HOA1070W6GG0	4	0
TO2122375Y9W	4	0
PH1070SK0LS8	2	5
PH21227275SX	2	5
PH21225QD4OT	2	10
PTO_00BF	4	0
PTO_00EI	4	0
PTO_00LZ	4	0
PHO_018A	2	9
PBY_01PV	2	0
PTO_016L	2	10
PEL_00MC	2	11
PTO_018H	4	0
PTO_01EU	2	3
PTO_025T	4	0
PTO_02FX	2	1
PTO_02QN	4	0
PTO_02S7	2	5
PHO_05GH	4	0
PTO_037F	2	2
PEL_04CR	4	0
PEL_04X0	4	0
PTO_04SG	4	0
PEL_05JD	4	0
PEL_06AG	4	0
FQ1TO_AZ3FK	4	0
PEL_06NR	4	0
PEL_0850	2	4
PUSHZHTAD2PT	4	0
PTO_00GQ	4	0
PHO_00KO	4	0
PEL_008I	4	0
PTO_00Y1	2	0
PTO_01GK	4	0
PTO_01O8	4	0
PBY_049E	2	1
PTO_02IO	2	20
PHO_04IZ	2	10
PTO_03MN	2	0
PHO_06UM	2	50
PH4534M41919	2	20
PTO_0191	2	4
PTO_01WX	4	0
PHO_05SF	2	3
PTO_03EB	2	1
PEL_047U	2	5
TO21227P6CJ6	2	5
TO2122AJUH66	2	5
TO21223TGU7R	4	0
TOA2122O75D7	2	3
TO212291Y1XS	4	0
TOA212282BQU	4	0
PTO_00AO	4	0
PTO_00EC	2	3
PTO_00GL	4	0
PBY_00QT	2	0
PTO_00H9	4	0
PTO_00JL	4	0
PHO_01XQ	2	1
PTO_026C	2	0
PHO_03UW	2	0
PTO_02H0	4	0
PTO_02VG	4	0
PHO_05MQ	2	0
PHO_05NE	2	4
PTO_03FK	4	0
PHO_06ZX	2	3
PTO_047F	2	15
PTO_04BV	4	0
PHO_08CK	4	6
PTO_0596	2	4
PTO_06B0	4	0
EL6131QP4OEP	2	5
PBY_0GW6	2	18
POU_0277	4	0
PEL_009K	2	2
PTO_02CU	4	0
PBE_0689	4	0
PEL_06ZZ	2	0
OU4534D4PDTB	2	3
PTO_03E2	4	21
PHO_096B	4	0
POU_04LH	4	0
PHO_04NJ	2	3
PHO_05CF	4	0
EL6131TLMFF3	2	5
PHO_08YG	2	6
PBY_0DOA	2	27
POU_01RG	2	0
PBY_0AMH	2	14
PTO_038D	2	0
POU_007O	2	4
PBY_07Y8	2	7
PBY_069J	4	0
POU_011D	4	11
PBY_0GK6	2	0
PHO_09AZ	2	20
PEL_055L	2	10
PEL_02Q1	4	0
PBY_07MW	2	30
PAU_054Q	4	0
POU_02MD	2	0
POU_029S	2	25
PHO_07ZD	4	0
PHO_00HX	2	23
PEL_04DF	2	4
PBY_0DR0	2	20
PUSH51L7891Q	4	42
POU_02VC	2	18
PHO_0AEY	2	20
PBE_033U	2	67
PAU_01LK	4	0
PBY_072P	2	4
POU_00Z0	2	12
PTO_01F7	4	0
L00BGFGYXB40	2	2
PBE_02WA	2	4
PBY_0DLB	2	17
PEL_03K2	2	11
HOA107015SC0	4	0
POU_00UG	2	0
PBY_0DJM	2	22
ST10705784X2	2	8
PBY_0D3Q	2	2
POU_02PT	2	2
PHO_01AM	2	20
PHO_02LE	4	0
PBY_0ANM	4	98
PHO_06PC	4	0
PAU_0063	4	0
PHO_08DE	2	11
PHO_069C	4	0
PEL_07V9	4	0
PEL_08GJ	2	0
PHO_0BG6	2	17
PHO_046U	2	16
POU_026I	4	0
PEL_0547	2	9
PEL_08KX	2	33
PBE_006H	2	40
PBY_0AUN	2	13
PBE_02IU	2	5
PEL_00MX	2	0
HO107009120O	2	10
PBY_0AVU	2	12
PAU_03KB	2	10
PBY_0A7E	2	4
EL6131H5BOQI	2	10
PEL_0895	2	11
PHO_0764	2	2
PBY_041D	2	76
PBE_02WO	2	3
PHO_0807	2	21
PHO_025M	2	8
PH4534X139T0	2	0
PBY_0FLL	2	18
PEL_092H	2	2
PBE_04AR	4	0
PEL_09ZS	4	5
PEL_0AI1	4	0
PEL_05HP	4	0
PBY_0E39	2	0
POU_001V	4	0
PAU_03WE	2	0
PHO_05RQ	4	0
PTO_01WJ	2	29
PHO_09AY	2	7
PEL_09YK	2	2
PST_0012	2	29
PBY_01MV	2	3
PAU_051N	4	0
EL6131K2TJU2	2	5
PBY_0DQZ	2	26
POU_02G3	2	4
PTO_06GQ	2	1
PUSHTYN8CIXW	2	5
PEL_013E	2	6
PH10708MA886	2	0
POU_02PY	2	2
PEL_0AQI	2	0
PEL_04LD	2	12
PBE_03FF	2	4
PEL_031T	2	54
PH4534FB7GGI	4	0
PHO_079K	2	1
PEL_04QS	2	0
PBY_0FE5	2	0
PBY_03TB	2	0
PBE_02R7	2	4
PHO_09S6	2	45
PBE_045V	2	0
PBY_0GVY	2	10
PAU_00BN	2	2
PEL_0061	2	10
PBY_0DTS	4	33
PHO_07ZV	4	0
PHO_042O	2	0
PHO_0BL1	2	7
PEL_095X	4	0
PHO_02N9	2	40
PHO_089S	4	0
POU_01AM	4	0
PBE_0335	2	11
PHO_05UT	4	0
PAU_02ND	2	0
PHO_03XW	2	31
PBY_04C9	2	7
PHO_06Z2	2	12
PHO_09DQ	4	0
PBE_033Y	4	0
PTO_07BO	2	9
PHO_044Y	2	19
POU_01S3	4	14
PH4534152XP2	2	4
PHO_04J9	2	6
EL6131J7I46M	2	5
PAU_022R	2	15
PBY_0H8E	2	15
PBE_031A	2	3
PBY_0EIT	2	4
PHO_0BDN	4	4
PBY_04BE	2	3
PHO_09XN	2	8
PTO_0726	2	26
PEL_02ZC	2	3
